"Name";"Screen_size";"Video_conf";"Clusters_screen_gpu"
"ASUS VivoBook 15 X512";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS Laptop 15 X509";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS TUF Gaming FX505";"15""";"External GM";"Gamer GPU (15"">)"
"Xiaomi RedmiBook 14""";"14""";"External MS";"Thin (13""-14"")"
"Lenovo IdeaPad S340-15 AMD";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS ZenBook 14 UM431";"14""";"Integrated";"Thin (13""-14"")"
"Apple MacBook Pro 13 with Retina display and Touch Bar Mid 2019";"13""";"Integrated";"Thin (13""-14"")"
"Acer ASPIRE 3 (A315-54K)";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo IdeaPad S340-14 Intel";"14""";"Integrated";"Thin (13""-14"")"
"Lenovo Ideapad L340-15 AMD";"15""";"Integrated";"Integrated GPU (15"">)"
"HP 250 G6";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS M509";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo Ideapad L340-15 Intel";"15""";"External GM";"Gamer GPU (15"">)"
"Lenovo Ideapad L340-17 AMD";"16"">";"External GM";"Gamer GPU (15"">)"
"HP 250 G7";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS VivoBook S15 S531";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS ZenBook 14 UX433";"14""";"External MS";"Thin (13""-14"")"
"Acer TravelMate P2 (TMP259)";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS M570";"15""";"External GM";"Gamer GPU (15"">)"
"Lenovo Ideapad 330 15 Intel";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS ZenBook UX410UA";"14""";"Integrated";"Thin (13""-14"")"
"Acer SWIFT 3 (SF314-58)";"14""";"Integrated";"Thin (13""-14"")"
"ASUS VivoBook S13 S330";"13""";"External MS";"Thin (13""-14"")"
"ASUS VivoBook X543";"None";"Integrated";"None"
"ASUS VivoBook 14 X403";"14""";"Integrated";"Thin (13""-14"")"
"Lenovo V130 15";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo IdeaPad S145";"None";"External MS";"None"
"ASUS VivoBook A512";"15""";"Integrated";"Integrated GPU (15"">)"
"Xiaomi Mi Notebook Air 13.3"" 2019";"13""";"External MS";"Thin (13""-14"")"
"ASUS VivoBook 17 X712";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer Aspire 5 (A515-54)";"15""";"Integrated";"Integrated GPU (15"">)"
"MSI GF63 Thin 9RCX";"15""";"External GM";"Gamer GPU (15"">)"
"Acer Aspire 3 (A315-42G)";"15""";"External GM";"Gamer GPU (15"">)"
"Acer Aspire 3 (A315-42)";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo IdeaPad S340-15 Intel";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"DELL XPS 15 7590";"15""";"External GM";"Gamer GPU (15"">)"
"Lenovo Ideapad L340 (15) Gaming";"None";"External GM";"None"
"Xiaomi Mi Notebook Pro 15.6 GTX";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS VivoBook 15 X540";"15""";"Integrated";"Integrated GPU (15"">)"
"DELL Vostro 5590";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS E203MA";"<12""";"Integrated";"Mini (<12"")"
"ASUS ZenBook 15 UX533";"15""";"External GM";"Gamer GPU (15"">)"
"Acer ASPIRE 3 (A315-21)";"15""";"Integrated";"Integrated GPU (15"">)"
"Xiaomi Mi Notebook Pro 15.6 2019";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer Extensa 15 EX215-51";"15""";"Integrated";"Integrated GPU (15"">)"
"Apple MacBook Air 13 дисплей Retina с технологией True Tone Mid 2019";"13""";"Integrated";"Thin (13""-14"")"
"MSI Modern 14 A10M";"14""";"Integrated";"Thin (13""-14"")"
"HP Pavilion Gaming 15-ec0000";"15""";"External GM";"Gamer GPU (15"">)"
"HP PAVILION 17-cd0000";"16"">";"External GM";"Gamer GPU (15"">)"
"DELL Inspiron 5491 2-in-1";"14""";"External MS";"Thin (13""-14"")"
"Xiaomi RedmiBook 14"" Enhanced Edition";"14""";"External MS";"Thin (13""-14"")"
"ASUS VivoBook X420";"14""";"Integrated";"Thin (13""-14"")"
"DELL Inspiron 3582";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS Zenbook 14 UX431";"14""";"Integrated";"Thin (13""-14"")"
"ASUS ZenBook Flip 15 UX563";"15""";"External GM";"Gamer GPU (15"">)"
